Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Estimated_CO2_Avoided_tons_per_year
RE-00508,Mexico,2015,Solar PV,220.44,23.64,456501.26,192599.35
RE-00510,Canada,2016,Solar PV,1085.39,25.98,2470182.66,1745450.9
RE-00523,Norway,2010,Solar PV,526.2,19.86,915449.08,631900.16
RE-00529,South Africa,2019,Solar PV,435.78,29.55,1128051.39,538527.65
RE-00530,South Korea,2014,Solar PV,454.83,19.33,770167.28,550452.97
RE-00534,France,2010,Solar PV,862.13,21.6,1631287.9,1139685.97
RE-00537,France,2011,Solar PV,456.18,20.74,828798.77,236675.73
RE-00543,Sweden,2011,Solar PV,802.09,27.69,1945584.8,606916.04
RE-00546,South Korea,2021,Solar PV,1200.87,28.11,2957065.52,2079280.12
RE-00566,Chile,2020,Solar PV,402.03,22.84,804375.19,464770.63
RE-00570,Chile,2021,Solar PV,1133.79,19.52,1938726.48,970205.35
RE-00578,South Korea,2011,Solar PV,953.03,20.45,1707277.0,710581.61
RE-00591,United Kingdom,2017,Solar PV,1182.54,16.38,1696812.46,853428.81
RE-00605,India,2024,Solar PV,678.22,18.55,1102093.94,676162.54
RE-00611,Italy,2022,Solar PV,1443.36,17.34,2192440.75,567849.67
RE-00618,United Kingdom,2017,Solar PV,1136.3,21.44,2134135.03,1572872.62
RE-00625,Sweden,2024,Solar PV,118.74,16.56,172250.89,55515.2
RE-00630,Mexico,2011,Solar PV,1299.13,17.54,1996118.44,1212846.56
RE-00632,Norway,2026,Solar PV,874.94,17.23,1320588.94,370071.0
RE-00649,Norway,2025,Solar PV,1159.47,22.42,2277189.8,1466593.27
RE-00658,Australia,2018,Solar PV,540.72,22.43,1062443.42,519349.96
RE-00672,Germany,2012,Solar PV,489.36,22.16,949953.46,342563.38
RE-00674,Australia,2018,Solar PV,641.1,25.32,1421980.32,571339.25
RE-00677,Germany,2013,Solar PV,16.36,19.43,27845.83,7828.88
RE-00678,Mexico,2017,Solar PV,1436.92,23.35,2939162.38,1920056.68
RE-00701,Argentina,2010,Solar PV,237.31,29.25,608059.41,268860.72
RE-00703,France,2024,Solar PV,804.82,27.16,1914840.62,554556.56
RE-00708,India,2012,Solar PV,280.9,29.88,735252.38,525315.93
RE-00712,Chile,2021,Solar PV,271.11,26.5,629354.75,413476.93
RE-00713,Brazil,2018,Solar PV,412.6,20.79,751428.77,532156.75
RE-00725,China,2018,Solar PV,861.22,28.36,2139559.85,604622.99
RE-00740,Germany,2024,Solar PV,1413.16,18.08,2238174.11,563867.55
RE-00743,United States,2018,Solar PV,266.1,20.6,480193.42,178444.87
RE-00749,South Korea,2014,Solar PV,1188.31,17.15,1785245.65,1107916.78
RE-00750,Spain,2022,Solar PV,26.92,16.95,39971.35,10660.92
RE-00757,Mexico,2013,Solar PV,934.65,16.68,1365680.67,692175.48
RE-00763,France,2025,Solar PV,417.81,14.42,527774.25,275891.78
RE-00803,Poland,2024,Solar PV,984.07,29.47,2540447.56,1638637.23
RE-00805,United Kingdom,2015,Solar PV,619.72,27.82,1510277.47,891099.69
RE-00813,South Africa,2023,Solar PV,1042.59,25.98,2372776.37,638300.42
RE-00829,Chile,2023,Solar PV,735.07,16.4,1056030.96,323610.95
RE-00840,Japan,2026,Solar PV,1488.33,23.38,3048230.81,1239469.68
RE-00841,Italy,2016,Solar PV,600.68,24.24,1275498.33,877444.2
RE-00847,Argentina,2010,Solar PV,750.05,16.45,1080837.05,690072.25
RE-00857,Japan,2010,Solar PV,580.48,28.11,1429394.85,618521.14
RE-00864,Spain,2018,Solar PV,1181.85,17.12,1772434.63,971448.07
RE-00869,Chile,2017,Solar PV,1268.6,16.48,1831411.85,1237321.36
RE-00875,Chile,2018,Solar PV,1160.32,14.58,1481969.99,667572.93
RE-00881,Australia,2015,Solar PV,740.96,14.46,938571.07,513307.43
RE-00886,Canada,2011,Solar PV,240.7,20.28,427610.29,246365.97
RE-00890,Japan,2012,Solar PV,631.68,22.77,1259981.78,348904.96
RE-00891,Sweden,2019,Solar PV,600.05,27.34,1437110.15,917375.01
RE-00907,South Korea,2023,Solar PV,264.66,28.93,670719.37,270015.83
RE-00909,South Korea,2025,Solar PV,532.93,27.72,1294099.0,380861.1
RE-00911,Italy,2010,Solar PV,545.68,24.23,1158231.99,680472.22
RE-00912,Chile,2017,Solar PV,1216.34,15.21,1620646.55,935475.85
RE-00924,India,2017,Solar PV,88.0,22.8,175760.64,81267.95
RE-00927,India,2016,Solar PV,909.14,26.88,2140741.05,1185090.71
RE-00931,Canada,2019,Solar PV,375.87,24.43,804387.36,351487.95
RE-00934,Argentina,2012,Solar PV,88.19,20.46,158062.58,93922.7
RE-00938,South Africa,2018,Solar PV,892.71,17.39,1359922.28,482819.43
RE-00939,Australia,2010,Solar PV,381.87,25.17,841982.11,255022.8
RE-00947,Norway,2013,Solar PV,1316.68,18.66,2152266.19,1363951.11
RE-00953,Spain,2015,Solar PV,248.86,19.97,435348.72,263655.4
RE-00954,South Africa,2013,Solar PV,272.43,19.1,455818.98,123966.39
RE-00969,South Africa,2011,Solar PV,1430.24,28.5,3570737.18,1154576.21
RE-00973,United States,2018,Solar PV,309.13,18.13,490956.56,225192.8
RE-01002,China,2017,Solar PV,245.02,20.52,440436.19,123658.39
RE-01004,United Kingdom,2024,Solar PV,1075.9,16.51,1556048.35,992401.66
RE-01017,Brazil,2013,Solar PV,154.79,17.13,232276.02,145990.12
RE-01035,France,2021,Solar PV,1012.52,21.89,1941571.9,776638.28
RE-01059,France,2016,Solar PV,578.98,22.32,1132040.22,652044.53
RE-01082,France,2019,Solar PV,61.56,16.35,88169.93,44911.8
RE-01090,Italy,2021,Solar PV,505.95,17.82,789804.14,324311.25
RE-01094,South Korea,2026,Solar PV,1197.44,27.53,2887779.83,900888.76
RE-01106,South Africa,2026,Solar PV,286.12,15.62,391501.43,115852.21
RE-01109,Italy,2018,Solar PV,766.88,26.37,1771502.0,1302816.21
RE-01110,Brazil,2013,Solar PV,874.83,19.59,1501281.77,692040.72
RE-01116,Spain,2015,Solar PV,977.85,23.83,2041269.7,868923.85
RE-01118,Brazil,2011,Solar PV,1287.1,20.03,2258381.7,1509112.42
RE-01123,Canada,2019,Solar PV,867.14,25.19,1913469.28,1082887.44
RE-01148,Mexico,2020,Solar PV,1053.26,23.67,2183926.18,1314001.3
RE-01157,Poland,2024,Solar PV,1147.51,20.15,2025515.8,660075.73
RE-01158,Italy,2013,Solar PV,55.84,28.36,138725.32,83636.59
RE-01159,Mexico,2026,Solar PV,34.77,24.06,73283.2,20900.6
RE-01168,Canada,2013,Solar PV,1357.06,25.26,3002869.8,1896790.43
RE-01176,India,2022,Solar PV,930.87,21.17,1726290.97,1191142.07
RE-01180,China,2011,Solar PV,633.82,26.41,1466352.71,646376.0
RE-01183,South Korea,2023,Solar PV,1372.66,29.18,3508749.57,2476163.87
RE-01185,South Korea,2011,Solar PV,1461.38,25.44,3256749.63,843817.21
RE-01191,Brazil,2025,Solar PV,683.89,20.25,1213152.47,749794.89
RE-01195,United Kingdom,2019,Solar PV,1281.68,24.63,2765337.39,806083.58
RE-01199,France,2017,Solar PV,240.64,16.86,355409.88,201954.53
RE-01200,Norway,2010,Solar PV,1307.02,26.53,3037551.08,1894348.27
RE-01207,China,2021,Solar PV,299.7,21.12,554478.57,254122.0
RE-01209,Australia,2012,Solar PV,695.46,25.91,1578496.69,900348.28
RE-01218,China,2020,Solar PV,151.23,25.76,341261.99,187605.92
RE-01219,India,2014,Solar PV,981.21,16.37,1407066.91,487961.49
RE-01228,Australia,2020,Solar PV,1273.73,19.16,2137848.81,1018628.29
RE-01250,Japan,2018,Solar PV,815.97,29.16,2084326.82,713344.14
RE-01264,Chile,2024,Solar PV,509.02,17.17,765612.91,357323.07
RE-01270,Poland,2012,Solar PV,1362.19,18.08,2157447.42,820206.17
RE-01272,Japan,2020,Solar PV,1174.94,23.84,2453725.9,1704496.49
RE-01277,United States,2020,Solar PV,318.64,17.6,491266.41,289006.05
RE-01290,Spain,2010,Solar PV,1121.77,28.44,2794714.96,850563.99
RE-01292,Italy,2016,Solar PV,1489.28,27.64,3605940.05,1024767.5
RE-01300,Mexico,2011,Solar PV,1108.83,20.5,1991236.91,1288929.57
RE-01306,Italy,2020,Solar PV,185.79,26.37,429177.13,309828.62
RE-01314,Chile,2019,Solar PV,224.83,24.05,473667.35,180555.73
RE-01321,Germany,2017,Solar PV,1247.06,21.14,2309385.52,721658.52
RE-01329,Brazil,2010,Solar PV,1187.28,26.93,2800874.26,1324673.24
RE-01332,Argentina,2012,Solar PV,1415.6,29.55,3664393.85,1406079.23
RE-01355,United States,2021,Solar PV,1102.64,14.22,1373527.77,928453.54
RE-01362,France,2018,Solar PV,898.11,28.0,2202884.21,701025.29
RE-01368,Australia,2011,Solar PV,1164.55,16.32,1664877.95,794712.74
RE-01376,Germany,2025,Solar PV,1061.98,17.42,1620572.98,542685.77
RE-01383,Norway,2026,Solar PV,969.1,24.13,2048471.95,1139071.19
RE-01384,Brazil,2019,Solar PV,1201.8,29.43,3098322.12,2143859.45
RE-01391,Germany,2021,Solar PV,298.35,18.43,481676.53,294182.51
RE-01420,Japan,2020,Solar PV,604.59,15.45,818264.2,467831.07
RE-01425,Sweden,2017,Solar PV,485.6,25.62,1089837.91,447303.84
RE-01428,South Korea,2023,Solar PV,1238.12,27.78,3012999.69,2030812.27
RE-01430,Brazil,2024,Solar PV,469.64,29.26,1203769.98,393072.79
RE-01439,Argentina,2013,Solar PV,949.48,20.25,1684282.57,781264.66
RE-01445,United Kingdom,2022,Solar PV,550.53,22.12,1066768.59,613632.63
RE-01448,Poland,2018,Solar PV,1127.56,29.0,2864453.42,1560901.55
RE-01453,South Korea,2023,Solar PV,442.17,23.3,902504.34,294956.32
RE-01459,Spain,2014,Solar PV,897.29,27.86,2189868.55,1002776.92
RE-01471,Mexico,2016,Solar PV,525.53,22.08,1016484.33,413169.91
RE-01474,United States,2013,Solar PV,192.62,16.88,284824.88,164555.01
RE-01476,Germany,2016,Solar PV,1344.65,25.32,2982476.73,1362841.09
RE-01502,South Africa,2014,Solar PV,579.33,22.17,1125112.16,284569.41
RE-01509,China,2010,Solar PV,1101.81,16.09,1552983.57,928106.35
RE-01520,Poland,2013,Solar PV,267.56,23.09,541189.33,375641.7
RE-01521,Japan,2022,Solar PV,852.27,23.96,1788826.09,1163405.56
RE-01524,Mexico,2015,Solar PV,897.48,21.71,1706823.87,717960.0
RE-01531,Chile,2026,Solar PV,248.01,27.28,592676.44,160159.87
RE-01534,Canada,2019,Solar PV,606.69,29.56,1570997.06,634267.79
RE-01536,Australia,2024,Solar PV,1203.48,18.73,1974607.4,679304.15
RE-01549,Norway,2013,Solar PV,212.41,23.92,445082.21,290785.37
RE-01558,Germany,2012,Solar PV,31.17,21.89,59770.47,36206.06
RE-01566,Australia,2022,Solar PV,253.68,25.34,563114.81,277169.95
RE-01578,United States,2020,Solar PV,1132.43,19.72,1956241.12,1444888.21
RE-01580,China,2015,Solar PV,1298.87,14.21,1616828.18,428757.09
RE-01583,United Kingdom,2015,Solar PV,178.81,24.57,384858.48,217564.02
RE-01588,Sweden,2012,Solar PV,173.52,25.83,392625.09,201874.08
RE-01592,United Kingdom,2015,Solar PV,698.84,24.3,1487606.73,737323.84
RE-01596,Norway,2021,Solar PV,833.91,17.17,1254277.36,737130.13
RE-01602,Australia,2011,Solar PV,1269.05,23.09,2566887.13,1764900.54
RE-01634,Germany,2010,Solar PV,356.12,15.94,497266.03,280664.21
RE-01635,China,2025,Solar PV,1454.49,23.34,2973826.98,1378964.26
RE-01639,Argentina,2025,Solar PV,1330.37,15.11,1760925.63,625906.37
RE-01649,Japan,2024,Solar PV,1367.08,19.07,2283750.89,1630181.14
RE-01653,Chile,2021,Solar PV,683.11,16.33,977194.32,512567.4
RE-01655,China,2010,Solar PV,904.22,18.41,1458250.06,910599.34
RE-01657,Poland,2020,Solar PV,1464.38,22.73,2915797.31,770370.78
RE-01660,Poland,2012,Solar PV,954.31,19.05,1592533.44,1138028.21
RE-01663,Australia,2010,Solar PV,1422.53,14.97,1865466.01,1152250.03
RE-01669,United Kingdom,2020,Solar PV,401.86,23.1,813187.82,539301.84
RE-01677,Italy,2012,Solar PV,713.1,22.71,1418638.29,434911.15
RE-01679,Norway,2013,Solar PV,106.97,17.08,160049.37,117703.04
RE-01689,Germany,2014,Solar PV,1040.54,17.44,1589678.74,761535.92
RE-01690,South Africa,2017,Solar PV,184.49,24.93,402901.81,136900.93
RE-01691,Spain,2020,Solar PV,1382.76,25.81,3126359.52,1503990.15
RE-01697,South Africa,2013,Solar PV,1173.98,27.78,2856913.2,1326769.02
RE-01700,Canada,2013,Solar PV,609.63,26.57,1418933.33,612986.14
RE-01707,Canada,2026,Solar PV,703.14,20.68,1273785.92,696530.07
RE-01711,Germany,2013,Solar PV,1006.04,29.02,2557506.6,1287327.54
RE-01720,Australia,2020,Solar PV,394.97,29.84,1032445.26,353961.63
RE-01727,Spain,2013,Solar PV,754.96,22.16,1465540.43,1084188.1
RE-01739,Poland,2014,Solar PV,393.79,16.93,584017.35,399729.38
RE-01743,United States,2015,Solar PV,1360.35,19.44,2316599.87,889485.41
RE-01746,France,2020,Solar PV,531.92,24.48,1140674.78,443621.47
RE-01754,Spain,2025,Solar PV,153.71,23.97,322755.95,239584.01
RE-01757,United States,2013,Solar PV,248.58,29.95,652179.46,346309.64
RE-01758,United Kingdom,2013,Solar PV,206.56,28.9,522935.56,367609.19
RE-01766,South Korea,2019,Solar PV,493.53,15.08,651957.08,380036.03
RE-01779,Canada,2019,Solar PV,1416.59,24.64,3057658.52,2234572.71
RE-01786,Australia,2014,Solar PV,660.91,28.59,1655238.52,502681.71
RE-01787,Mexico,2010,Solar PV,148.29,24.29,315532.06,119887.52
RE-01795,Canada,2018,Solar PV,80.42,22.45,158155.58,72506.68
RE-01815,Spain,2014,Solar PV,493.58,23.15,1000950.63,555762.79
RE-01816,United Kingdom,2021,Solar PV,477.17,21.13,883235.94,659622.11
RE-01818,Germany,2025,Solar PV,872.61,17.4,1330067.07,891591.85
RE-01824,Argentina,2015,Solar PV,1179.73,25.03,2586709.03,1749203.18
RE-01831,South Korea,2025,Solar PV,1377.69,25.15,3035243.95,1111410.09
RE-01836,Poland,2015,Solar PV,44.51,14.76,57550.36,20926.3
RE-01842,Norway,2024,Solar PV,1089.41,20.53,1959225.45,1267513.45
RE-01845,Japan,2020,Solar PV,348.4,15.48,472447.12,329181.84
RE-01850,Sweden,2020,Solar PV,714.86,18.76,1174783.77,802494.68
RE-01860,Brazil,2023,Solar PV,1448.56,14.43,1831078.34,1165321.33
RE-01885,Poland,2015,Solar PV,395.85,15.28,529856.31,372007.26
RE-01910,Norway,2024,Solar PV,1256.92,16.3,1794730.93,711383.45
RE-01912,Spain,2017,Solar PV,1016.02,21.19,1885981.03,1407530.5
RE-01925,Norway,2025,Solar PV,1295.76,23.89,2711719.88,1449765.42
RE-01928,Chile,2013,Solar PV,922.94,21.27,1719669.8,882175.89
RE-01932,United Kingdom,2013,Solar PV,276.65,15.78,382421.04,198103.65
RE-01934,Australia,2024,Solar PV,1499.91,16.3,2141691.49,1069355.31
RE-01943,Poland,2023,Solar PV,212.51,23.96,446036.39,113758.36
RE-01944,United States,2017,Solar PV,358.26,18.81,590325.06,356618.24
RE-01947,Mexico,2025,Solar PV,577.41,22.08,1116831.04,490010.25
RE-01952,South Africa,2020,Solar PV,310.58,23.14,629565.54,340477.92
RE-01964,Argentina,2012,Solar PV,417.72,19.37,708792.31,508998.48
RE-01965,United States,2020,Solar PV,1025.96,22.57,2028458.35,1494745.59
RE-01970,Sweden,2017,Solar PV,1371.31,24.31,2920281.44,1592898.75
RE-01977,France,2021,Solar PV,1139.49,22.43,2238947.44,1254729.51
RE-01989,South Korea,2019,Solar PV,601.58,28.35,1493999.87,534623.56
RE-01992,Japan,2013,Solar PV,1297.83,17.85,2029364.86,1239079.41
RE-01997,Argentina,2015,Solar PV,1319.9,22.29,2577242.02,789211.05
RE-02043,China,2020,Solar PV,38.96,26.49,90407.62,29731.12
RE-02046,Chile,2019,Solar PV,900.91,16.3,1286391.37,964782.26
RE-02053,United Kingdom,2026,Solar PV,852.97,20.3,1516819.49,911491.4
RE-02060,China,2013,Solar PV,219.93,15.46,297850.32,135007.25
RE-02072,Italy,2018,Solar PV,1183.41,24.07,2495257.85,1242138.39
RE-02074,United Kingdom,2022,Solar PV,1470.68,23.15,2982450.8,1362934.14
RE-02079,Sweden,2026,Solar PV,50.11,22.85,100303.18,32495.56
RE-02080,United States,2014,Solar PV,1408.52,24.65,3041473.58,1504414.24
RE-02085,South Korea,2022,Solar PV,1240.03,19.55,2123650.58,1189981.3
RE-02087,United States,2025,Solar PV,323.31,21.37,605240.2,345752.28
RE-02097,Germany,2018,Solar PV,1322.77,21.1,2444955.16,875173.41
RE-02106,Norway,2012,Solar PV,250.71,27.08,594736.27,386110.93
RE-02116,United States,2023,Solar PV,1167.12,17.67,1806575.71,1165329.17
RE-02117,United Kingdom,2014,Solar PV,517.45,18.75,849911.62,230086.54
RE-02120,Poland,2018,Solar PV,1260.79,24.56,2712534.21,1850298.0
RE-02124,Brazil,2019,Solar PV,549.95,18.7,900884.09,619598.39
RE-02131,Canada,2014,Solar PV,633.11,15.1,837452.58,258696.82
RE-02140,Norway,2026,Solar PV,965.72,22.3,1886514.71,1219492.02
RE-02145,South Africa,2016,Solar PV,1189.92,21.83,2275493.54,1102601.11
RE-02163,Italy,2016,Solar PV,284.62,24.12,601377.01,319350.32
RE-02164,Canada,2013,Solar PV,583.16,24.68,1260773.26,607193.74
RE-02170,Germany,2026,Solar PV,1017.73,23.85,2126302.58,730810.44
RE-02172,South Africa,2019,Solar PV,1101.31,17.46,1684449.24,997914.29
RE-02175,Spain,2011,Solar PV,705.17,14.47,893853.75,246038.54
RE-02180,Spain,2010,Solar PV,1426.6,19.79,2473159.47,1264550.92
RE-02182,Chile,2018,Solar PV,248.06,26.84,583234.7,315809.39
RE-02184,China,2011,Solar PV,964.91,22.29,1884087.13,1140489.54
RE-02186,Poland,2017,Solar PV,1022.06,20.73,1856007.81,1017860.27
RE-02195,Poland,2020,Solar PV,100.19,21.1,185187.19,69169.78
RE-02202,Germany,2011,Solar PV,1047.11,19.28,1768493.4,1216260.47
RE-02211,South Korea,2019,Solar PV,724.1,27.42,1739282.41,789990.29
RE-02215,Poland,2024,Solar PV,544.52,27.46,1309840.68,343143.64
RE-02216,South Korea,2018,Solar PV,552.77,26.96,1305474.7,550411.92
RE-02225,United States,2013,Solar PV,17.75,27.22,42324.38,22903.99
RE-02233,United States,2011,Solar PV,531.17,22.33,1039025.89,401408.06
RE-02243,Argentina,2014,Solar PV,1182.16,26.82,2777404.53,886419.75
RE-02255,United States,2021,Solar PV,912.21,18.81,1503099.5,903987.62
RE-02263,India,2013,Solar PV,1371.92,21.31,2561039.89,1354099.15
RE-02271,Sweden,2017,Solar PV,632.64,26.55,1471381.46,928375.41
RE-02293,Japan,2019,Solar PV,304.18,14.1,375710.97,173305.37
RE-02295,Brazil,2023,Solar PV,285.67,16.29,407652.23,240705.33
RE-02300,China,2026,Solar PV,1472.67,27.31,3523150.91,2107954.57
RE-02308,Sweden,2015,Solar PV,842.79,18.92,1396833.4,843059.89
RE-02310,Norway,2013,Solar PV,796.96,26.98,1883573.52,976088.39
RE-02316,South Korea,2011,Solar PV,867.22,25.76,1956947.84,1000416.61
RE-02324,United States,2012,Solar PV,1481.09,21.29,2762238.77,701176.69
RE-02325,Chile,2012,Solar PV,1068.5,19.28,1804619.57,530302.73
RE-02337,South Africa,2016,Solar PV,1328.56,23.08,2686093.24,1925348.04
RE-02340,Italy,2019,Solar PV,355.12,23.61,734471.97,200737.31
RE-02373,Brazil,2014,Solar PV,812.37,18.19,1294466.1,561228.99
RE-02385,Japan,2021,Solar PV,714.4,15.2,951237.89,646889.96
RE-02386,Germany,2015,Solar PV,178.25,29.71,463912.74,319312.13
RE-02390,China,2020,Solar PV,233.32,29.55,603967.49,305707.07
RE-02392,Japan,2017,Solar PV,1489.3,20.84,2718842.25,1116393.3
RE-02407,Sweden,2025,Solar PV,612.56,26.44,1418777.17,867586.8
RE-02424,Poland,2017,Solar PV,538.75,22.71,1071787.09,478486.07
RE-02450,Chile,2020,Solar PV,494.48,23.51,1018369.69,394824.43
RE-02455,United Kingdom,2015,Solar PV,1483.73,18.33,2382437.13,853459.76
RE-02461,South Africa,2026,Solar PV,1062.46,18.62,1732991.26,1018835.68
RE-02471,Spain,2014,Solar PV,602.0,25.32,1335255.26,755138.54
RE-02499,India,2024,Solar PV,304.2,14.38,383197.09,147051.43
