Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Capital_Cost_USD_per_kW,Estimated_Project_Cost_Million_USD,Lifecycle_Emissions_kgCO2e_per_MWh,Estimated_CO2_Avoided_tons_per_year,Estimated_Jobs,Grid_Connected,Storage_Included,Project_Status
RE-00019,Germany,2014,Offshore Wind,1405.28,40.54,4990576.49,3254.2,4573.06,22.13,1630132.68,1469,Yes,Yes,Operational
RE-00020,China,2026,Hydroelectric,1457.77,47.53,6069611.99,2260.47,3295.25,4.43,2214364.49,1274,Yes,Yes,Operational
RE-00021,France,2021,Biogas,872.09,56.99,4353755.84,3529.9,3078.39,71.5,2697116.92,760,No,No,Operational
RE-00022,Spain,2012,Solar PV,994.63,29.29,2552025.63,957.8,952.66,56.99,669727.44,2385,Yes,Yes,Operational
RE-00023,Japan,2017,Geothermal,1449.38,84.9,10779386.91,5745.49,8327.4,47.17,5213890.29,4674,Yes,No,Planned
RE-00024,Chile,2017,Solar PV,796.62,23.7,1653878.71,1480.97,1179.77,44.12,754641.34,1391,Yes,No,Planned
RE-00025,Spain,2017,Onshore Wind,372.51,30.44,993314.31,2069.82,771.03,17.62,300615.69,238,Yes,No,Operational
RE-00026,Mexico,2025,Hydroelectric,1381.53,35.79,4331378.38,2711.1,3745.47,8.76,1332960.18,657,Yes,Yes,Operational
RE-00027,Italy,2020,Offshore Wind,1021.39,44.05,3941319.3,3976.57,4061.63,16.58,2709666.76,3538,Yes,Yes,Operational
RE-00028,Poland,2020,Solar PV,624.98,14.79,809726.59,1036.25,647.64,40.95,243594.87,2125,Yes,No,Operational
RE-00029,India,2024,Biomass,1354.08,87.33,10358858.24,3965.47,5369.56,101.26,5917411.15,4338,Yes,No,Planned
RE-00030,Spain,2024,Solar CSP,578.25,34.07,1725805.63,3299.39,1907.87,19.19,843813.05,1099,Yes,No,Operational
RE-00031,China,2015,Geothermal,569.82,87.14,4349700.46,3328.13,1896.44,52.95,3080344.82,1214,Yes,No,Construction
RE-00032,Japan,2013,Onshore Wind,799.55,39.56,2770805.34,1474.6,1179.02,16.55,973113.2,2319,Yes,Yes,Operational
RE-00033,France,2011,Geothermal,1088.85,72.11,6878086.88,5756.57,6268.04,20.5,5017152.54,3574,Yes,No,Planned
RE-00034,Argentina,2011,Hydroelectric,885.52,33.33,2585459.83,3771.73,3339.94,9.31,1376693.51,2179,Yes,No,Construction
RE-00035,Spain,2023,Biogas,738.74,70.99,4594020.17,3834.97,2833.05,32.78,1417493.11,528,Yes,No,Construction
RE-00036,United Kingdom,2022,Geothermal,1347.65,89.06,10513901.71,3228.03,4350.25,29.57,4281470.95,1303,Yes,No,Operational
RE-00037,Sweden,2016,Geothermal,1094.8,83.82,8038713.51,5757.33,6303.12,46.21,3936435.67,1921,Yes,No,Operational
RE-00038,South Korea,2014,Biogas,955.97,54.27,4544731.09,3011.82,2879.21,69.6,1164138.97,1945,Yes,Yes,Operational
RE-00039,Sweden,2017,Onshore Wind,453.59,46.12,1832554.4,2115.68,959.65,8.44,1371698.72,1617,Yes,Yes,Retired
RE-00040,Sweden,2010,Onshore Wind,975.54,27.08,2314183.79,2266.14,2210.71,7.38,857206.14,892,Yes,Yes,Planned
RE-00041,Argentina,2021,Onshore Wind,55.21,25.12,121490.27,1167.16,64.44,14.88,79058.69,69,Yes,No,Planned
RE-00042,China,2012,Biomass,1047.48,82.65,7583901.85,1908.41,1999.02,52.15,2369679.92,2321,Yes,No,Planned
RE-00043,Italy,2012,Offshore Wind,1102.2,39.44,3808039.28,3801.81,4190.35,20.07,2818338.98,2867,Yes,Yes,Planned
RE-00044,India,2017,Solar PV,260.52,15.47,353049.41,865.18,225.4,59.2,169209.63,839,Yes,No,Operational
RE-00045,Spain,2026,Solar CSP,452.71,32.72,1297590.0,4599.33,2082.16,34.48,934650.45,423,Yes,No,Operational
RE-00046,Mexico,2026,Hydroelectric,417.84,40.66,1488269.2,3169.29,1324.26,22.94,844316.78,786,Yes,Yes,Operational
RE-00047,Poland,2015,Hydroelectric,55.05,44.64,215271.04,3317.22,182.61,10.99,115434.57,134,Yes,No,Operational
RE-00048,China,2014,Geothermal,824.17,80.79,5832819.22,4578.85,3773.75,29.43,2953562.47,2515,Yes,No,Operational
RE-00049,South Korea,2018,Geothermal,1200.01,77.86,8184711.41,5382.05,6458.51,34.77,2520304.78,791,Yes,Yes,Operational
RE-00050,Brazil,2018,Biomass,471.53,79.51,3284242.29,1839.64,867.45,105.31,2227616.19,820,Yes,No,Operational
RE-00051,China,2016,Hydroelectric,1437.69,64.84,8166056.2,4270.74,6140.0,13.64,4849269.77,4226,Yes,Yes,Operational
RE-00052,Italy,2022,Offshore Wind,246.46,38.82,838119.76,5894.33,1452.72,24.82,442514.42,843,No,Yes,Operational
RE-00053,Chile,2016,Biomass,120.99,79.93,847156.01,2971.2,359.49,74.89,275610.76,127,Yes,Yes,Operational
RE-00054,Spain,2013,Biogas,880.08,67.27,5186181.19,1801.88,1585.8,40.84,3484046.4,2372,Yes,No,Construction
RE-00055,Sweden,2010,Hydroelectric,550.55,48.88,2357393.44,2883.06,1587.27,30.18,1158154.99,1743,Yes,No,Operational
RE-00056,South Korea,2012,Biomass,511.55,71.46,3202249.8,3234.81,1654.77,43.92,1438694.79,1893,Yes,Yes,Operational
RE-00057,France,2013,Onshore Wind,38.21,46.33,155075.59,1682.67,64.29,11.0,85173.5,16,Yes,No,Retired
RE-00058,Norway,2023,Onshore Wind,716.78,42.51,2669199.84,2274.33,1630.19,16.37,1952801.58,2304,Yes,Yes,Construction
RE-00059,South Africa,2017,Biomass,830.1,76.59,5569376.65,4418.5,3667.8,118.69,2194969.99,2524,Yes,Yes,Operational
RE-00060,China,2018,Geothermal,735.06,94.64,6093988.47,3966.9,2915.91,54.12,2777566.82,2394,Yes,No,Planned
RE-00061,China,2025,Onshore Wind,1234.05,25.85,2794456.86,1584.51,1955.36,7.63,851306.54,3493,Yes,No,Construction
RE-00062,Japan,2016,Geothermal,74.4,75.86,494413.0,4563.21,339.5,49.33,124715.71,167,Yes,Yes,Operational
RE-00063,India,2025,Geothermal,1007.75,75.94,6703899.67,5440.57,5482.73,28.92,4536343.45,1487,Yes,Yes,Planned
RE-00064,Brazil,2024,Hydroelectric,128.13,41.97,471079.17,4096.45,524.88,29.03,353013.39,187,Yes,Yes,Operational
RE-00065,Mexico,2026,Solar CSP,1051.62,33.09,3048314.07,3677.11,3866.92,42.46,1519457.44,929,Yes,Yes,Operational
RE-00066,Spain,2015,Onshore Wind,952.18,32.9,2744220.85,1646.5,1567.76,19.47,1717831.65,2234,Yes,No,Operational
RE-00067,South Korea,2015,Hydroelectric,1363.69,48.53,5797357.11,4175.42,5693.98,22.31,3343449.5,2015,Yes,Yes,Planned
RE-00068,Argentina,2010,Solar CSP,842.67,37.42,2762265.52,4851.47,4088.19,28.15,1348340.95,3354,Yes,No,Planned
RE-00069,Australia,2023,Onshore Wind,278.58,37.93,925628.85,1232.46,343.34,15.49,673556.71,625,Yes,No,Operational
RE-00070,United States,2014,Offshore Wind,369.85,36.51,1182882.38,4483.94,1658.39,16.77,480587.34,215,Yes,No,Operational
RE-00071,France,2021,Biogas,311.32,60.57,1651842.75,2545.9,792.59,52.08,414332.3,250,Yes,No,Operational
RE-00072,United Kingdom,2010,Biomass,647.56,80.76,4581212.43,4071.25,2636.38,57.13,1884001.72,824,Yes,No,Operational
RE-00073,United Kingdom,2015,Geothermal,1395.65,71.21,8706059.12,3950.92,5514.1,43.46,2831445.54,796,Yes,Yes,Operational
RE-00074,United States,2023,Solar CSP,166.83,33.64,491625.32,3224.92,538.01,32.08,267983.83,576,Yes,No,Operational
RE-00075,Australia,2012,Offshore Wind,1159.63,54.68,5554590.59,3740.77,4337.91,23.62,2650810.13,2982,Yes,No,Operational
RE-00076,China,2019,Biogas,901.5,57.57,4546383.5,2593.66,2338.18,45.65,1314151.23,457,Yes,Yes,Operational
RE-00077,China,2022,Geothermal,1062.43,88.46,8232872.06,3405.18,3617.77,50.6,4502683.48,906,Yes,Yes,Operational
RE-00078,South Africa,2012,Solar CSP,7.01,20.36,12502.59,5479.25,38.41,32.54,3919.0,25,Yes,No,Construction
RE-00079,Canada,2014,Solar CSP,76.73,33.08,222348.81,3384.27,259.68,34.91,148556.26,35,Yes,No,Operational
RE-00080,Norway,2020,Hydroelectric,830.76,43.87,3192620.65,3968.39,3296.78,26.5,1703163.82,2600,No,No,Operational
RE-00081,Brazil,2010,Biogas,1194.25,68.21,7135877.82,2579.11,3080.1,31.11,4958209.22,2175,Yes,No,Operational
RE-00082,Brazil,2021,Geothermal,1288.62,92.81,10476681.62,3006.16,3873.8,33.79,6461466.7,4590,Yes,No,Construction
RE-00083,Italy,2022,Geothermal,1174.66,84.25,8669343.2,2597.54,3051.23,51.16,5919308.5,3844,Yes,No,Operational
RE-00084,South Africa,2013,Solar PV,566.34,25.51,1265586.41,1498.81,848.84,35.79,518341.47,1467,Yes,No,Operational
RE-00085,United Kingdom,2025,Hydroelectric,701.99,36.89,2268525.61,3007.06,2110.93,16.22,715843.12,692,Yes,No,Operational
RE-00086,Canada,2013,Geothermal,1130.5,92.03,9113896.55,3256.83,3681.85,23.08,3125000.81,2576,Yes,Yes,Operational
RE-00087,United Kingdom,2018,Solar PV,1439.04,24.44,3080904.05,1145.96,1649.08,24.43,1159092.01,2102,Yes,No,Retired
RE-00088,South Africa,2020,Biomass,1429.55,57.37,7184363.63,2172.04,3105.04,60.88,3782201.96,1070,Yes,No,Operational
RE-00089,Japan,2012,Hydroelectric,380.63,35.61,1187350.92,4526.19,1722.8,22.11,733266.03,557,Yes,No,Planned
RE-00090,Chile,2010,Onshore Wind,1412.37,27.78,3437041.94,2264.96,3198.96,8.31,1313877.7,4868,Yes,No,Operational
RE-00091,United Kingdom,2014,Solar CSP,1065.66,38.73,3615515.83,5123.73,5460.15,25.18,1863527.96,1379,Yes,No,Planned
RE-00092,China,2010,Solar CSP,776.97,30.79,2095646.59,4089.24,3177.22,31.1,979256.97,679,Yes,No,Operational
RE-00093,Brazil,2026,Biomass,246.2,73.3,1580869.9,2360.84,581.24,56.52,418973.66,203,Yes,No,Operational
RE-00094,France,2026,Biogas,798.3,56.55,3954602.57,3972.65,3171.37,78.19,2455046.21,1666,Yes,No,Operational
RE-00095,Chile,2010,Hydroelectric,514.26,57.81,2604292.86,3792.67,1950.42,27.28,1684502.7,598,Yes,No,Operational
RE-00096,South Africa,2019,Biogas,422.06,52.17,1928853.03,2699.83,1139.49,33.39,629121.18,1129,Yes,No,Operational
RE-00097,Poland,2022,Offshore Wind,692.19,50.18,3042706.65,5018.87,3474.01,16.04,2206055.27,1130,Yes,No,Operational
RE-00098,France,2026,Solar CSP,1338.84,36.49,4279634.19,5475.42,7330.71,30.94,2482178.67,1993,No,No,Construction
RE-00099,France,2016,Offshore Wind,843.17,51.55,3807570.22,4683.06,3948.62,23.42,1750151.53,2301,Yes,No,Operational
RE-00100,Canada,2024,Onshore Wind,1001.57,40.08,3516520.28,1961.78,1964.86,7.26,1453284.37,1113,Yes,No,Operational
RE-00101,India,2021,Biogas,194.91,59.63,1018129.54,1932.77,376.72,43.43,598016.99,716,Yes,No,Planned
RE-00102,Norway,2019,Solar CSP,383.41,33.76,1133887.53,3461.47,1327.16,44.28,510065.78,1099,Yes,No,Planned
RE-00103,France,2020,Biogas,666.47,82.76,4831758.21,3649.56,2432.32,45.94,2523502.66,1441,Yes,Yes,Planned
RE-00104,Australia,2026,Geothermal,1265.14,94.46,10468648.9,5030.97,6364.88,45.59,6608806.19,2694,Yes,Yes,Construction
RE-00105,Poland,2014,Geothermal,387.45,84.65,2873073.48,3757.93,1456.01,23.75,1890562.82,1355,Yes,Yes,Planned
RE-00106,Japan,2012,Solar CSP,208.36,37.04,676066.53,2847.11,593.22,26.7,506579.87,227,Yes,No,Operational
RE-00107,Chile,2025,Biogas,1471.25,52.44,6758545.86,1931.19,2841.26,76.4,2604176.37,5275,Yes,No,Operational
RE-00108,France,2012,Geothermal,828.73,82.52,5990683.64,4807.42,3984.05,41.11,4469175.82,3313,Yes,Yes,Construction
RE-00109,United Kingdom,2026,Solar PV,478.17,21.38,895558.85,1082.3,517.52,22.06,524915.89,799,Yes,No,Operational
RE-00110,United Kingdom,2016,Biomass,1123.48,81.45,8016052.27,3126.4,3512.45,110.91,2580802.88,4004,Yes,Yes,Operational
RE-00111,India,2011,Onshore Wind,80.16,25.01,175620.62,1667.21,133.64,17.07,46964.32,220,Yes,Yes,Planned
RE-00112,Japan,2014,Biomass,808.87,82.03,5812400.69,2050.44,1658.54,68.53,3597287.68,1073,Yes,No,Construction
RE-00113,United Kingdom,2017,Geothermal,552.49,75.48,3653090.4,2991.84,1652.96,45.06,1130467.73,392,Yes,No,Operational
RE-00114,South Africa,2021,Solar CSP,206.68,34.38,622455.68,3846.19,794.93,26.79,427964.49,808,Yes,Yes,Operational
RE-00115,Spain,2021,Offshore Wind,434.34,51.9,1974700.75,4895.76,2126.42,17.37,1311741.3,1284,Yes,No,Operational
RE-00116,Argentina,2020,Solar PV,628.57,26.13,1438789.19,1443.95,907.62,42.45,636930.02,863,Yes,Yes,Operational
RE-00117,Japan,2021,Geothermal,100.05,70.03,613769.53,3006.65,300.82,50.78,351779.17,101,Yes,No,Planned
RE-00118,Canada,2018,Biogas,323.55,70.5,1998180.09,2069.17,669.48,69.17,713442.5,244,Yes,No,Operational
RE-00119,Australia,2012,Solar PV,1290.56,19.13,2162704.96,1024.68,1322.41,22.21,927118.77,1746,Yes,No,Planned
RE-00120,Canada,2021,Hydroelectric,162.0,34.04,483068.45,3782.62,612.78,7.78,326646.62,504,Yes,No,Retired
RE-00121,Japan,2010,Offshore Wind,602.5,42.45,2240468.55,6309.99,3801.77,17.81,1463239.89,610,Yes,No,Retired
RE-00122,Germany,2026,Biogas,596.89,70.47,3684704.64,1907.33,1138.47,45.87,1277133.96,460,Yes,No,Operational
RE-00123,Argentina,2016,Geothermal,647.85,85.83,4870994.98,5721.72,3706.82,52.31,2171226.48,1027,Yes,No,Construction
RE-00124,Poland,2015,Offshore Wind,481.75,42.95,1812545.83,4200.79,2023.73,9.61,603634.52,1446,Yes,Yes,Operational
RE-00125,Sweden,2022,Biomass,386.88,82.28,2788525.81,4304.26,1665.23,85.78,1629820.36,227,Yes,No,Operational
RE-00126,United States,2026,Biogas,58.77,73.81,379992.48,2950.4,173.4,26.72,236252.72,203,Yes,No,Operational
RE-00127,France,2023,Hydroelectric,496.74,60.76,2643936.4,2993.79,1487.14,21.52,1018367.35,485,Yes,No,Planned
RE-00128,South Africa,2011,Biomass,1283.61,61.19,6880462.8,3404.54,4370.1,109.64,3008358.29,980,Yes,No,Operational
RE-00129,Chile,2026,Geothermal,911.21,80.62,6435249.32,3605.94,3285.77,31.7,1989776.14,2971,Yes,Yes,Planned
RE-00130,United States,2011,Biomass,781.17,70.3,4810663.59,3663.34,2861.69,48.89,2810223.08,1371,Yes,Yes,Operational
RE-00131,Brazil,2018,Biogas,322.28,54.89,1549639.55,2052.34,661.43,47.37,462420.31,1228,Yes,No,Operational
RE-00132,Sweden,2019,Offshore Wind,1307.24,49.59,5678760.37,4387.4,5735.38,15.33,1521620.68,3038,No,No,Operational
RE-00133,Argentina,2021,Solar CSP,453.35,39.87,1583375.65,2635.34,1194.73,43.08,1058863.26,373,Yes,Yes,Operational
RE-00134,Australia,2011,Solar PV,851.6,20.36,1518859.26,1100.51,937.19,22.52,1115414.03,1293,Yes,Yes,Planned
RE-00135,Norway,2011,Solar CSP,1301.09,35.57,4054107.97,4990.06,6492.52,44.28,2720619.94,4939,Yes,No,Operational
RE-00136,South Korea,2026,Solar CSP,1457.73,35.51,4534525.73,3948.82,5756.31,28.69,2009569.07,2480,Yes,Yes,Operational
RE-00137,Argentina,2023,Hydroelectric,669.66,62.57,3670494.86,3759.11,2517.33,5.09,1206718.02,764,Yes,No,Planned
RE-00138,South Africa,2024,Biogas,355.3,51.72,1609747.76,1968.64,699.46,29.12,559487.35,869,Yes,No,Construction
RE-00139,Spain,2013,Biomass,1201.07,75.39,7932063.26,4133.17,4964.23,115.65,3362801.3,872,Yes,No,Operational
RE-00140,China,2015,Solar CSP,811.17,24.02,1706824.98,3462.2,2808.43,34.6,1000927.74,1594,Yes,No,Operational
RE-00141,Argentina,2025,Geothermal,282.67,72.68,1799694.31,4091.06,1156.42,35.78,907219.53,557,Yes,No,Operational
RE-00142,Canada,2026,Biogas,889.84,57.98,4519540.07,3130.26,2785.43,28.3,3347594.18,1858,Yes,No,Operational
RE-00143,United Kingdom,2023,Biomass,972.63,80.8,6884352.95,2956.06,2875.15,89.22,4668379.57,2598,Yes,No,Planned
RE-00144,Germany,2021,Onshore Wind,638.2,43.68,2441988.06,1757.49,1121.63,16.58,1171799.53,750,Yes,Yes,Operational
RE-00145,Argentina,2020,Onshore Wind,1121.16,45.58,4476576.62,1454.36,1630.57,8.44,3259052.22,1071,Yes,No,Planned
RE-00146,China,2022,Solar CSP,1062.53,23.85,2219901.43,3573.05,3796.47,29.35,718610.9,1470,Yes,Yes,Operational
RE-00147,France,2021,Biomass,105.83,70.88,657107.78,3911.97,414.0,98.58,432072.38,213,Yes,No,Operational
RE-00148,Spain,2013,Biomass,588.7,62.95,3246339.05,3829.81,2254.61,61.68,1254392.44,512,Yes,Yes,Operational
RE-00149,Spain,2014,Biogas,1144.97,82.55,8279713.16,2795.04,3200.24,66.79,5659897.15,4575,Yes,No,Planned
RE-00150,Spain,2016,Hydroelectric,122.65,30.55,328233.48,3327.04,408.06,19.32,148913.36,299,Yes,No,Operational
RE-00151,Mexico,2013,Geothermal,1189.71,91.2,9504735.96,5980.33,7114.86,49.92,6605311.54,1822,Yes,No,Planned
RE-00152,United Kingdom,2017,Offshore Wind,835.95,41.81,3061713.69,3428.26,2865.85,11.32,854134.45,3191,Yes,No,Construction
RE-00153,South Africa,2013,Geothermal,264.02,90.3,2088472.13,3205.9,846.42,51.53,668368.94,749,Yes,Yes,Planned
RE-00154,Argentina,2019,Biomass,645.51,69.27,3916988.25,2483.19,1602.92,100.94,2490909.47,1137,Yes,Yes,Operational
RE-00155,Mexico,2019,Hydroelectric,1491.12,31.35,4095003.21,2465.59,3676.49,20.09,2682105.76,1074,Yes,No,Operational
RE-00156,Brazil,2012,Offshore Wind,615.66,46.03,2482481.49,5988.71,3687.01,18.92,1477575.41,2424,Yes,No,Planned
RE-00157,France,2014,Solar PV,1094.99,26.07,2500663.7,788.01,862.86,38.73,875935.57,1168,Yes,No,Planned
RE-00158,Japan,2019,Offshore Wind,399.78,41.31,1446706.27,3742.49,1496.17,10.3,1044376.08,738,Yes,No,Operational
RE-00159,Chile,2010,Onshore Wind,243.75,39.7,847694.25,2117.78,516.21,9.74,600759.05,844,Yes,Yes,Planned
RE-00160,United Kingdom,2019,Biomass,928.76,80.08,6515258.83,2146.39,1993.48,101.37,4686137.24,2806,Yes,No,Operational
RE-00161,Sweden,2022,Biogas,1230.94,76.23,8219907.12,2290.85,2819.9,32.66,3034537.07,2720,Yes,No,Planned
RE-00162,Australia,2026,Hydroelectric,370.84,55.78,1812045.88,3969.51,1472.05,20.22,623824.19,1209,No,No,Planned
RE-00163,Norway,2026,Solar CSP,528.72,34.04,1576592.28,3921.8,2073.53,44.6,468096.42,996,Yes,No,Operational
RE-00164,South Africa,2020,Biogas,1325.41,60.55,7030213.21,3448.46,4570.62,46.9,3888983.33,3672,Yes,Yes,Operational
RE-00165,Japan,2022,Biogas,845.72,67.35,4989629.6,1732.5,1465.21,47.64,3405672.26,432,No,Yes,Construction
RE-00166,Argentina,2019,Offshore Wind,1300.05,52.16,5940209.26,6077.11,7900.55,11.67,3063047.39,4167,Yes,Yes,Operational
RE-00167,Canada,2026,Onshore Wind,1065.32,39.62,3697418.91,2067.19,2202.22,13.91,1804587.82,2150,Yes,No,Planned
RE-00168,United Kingdom,2010,Geothermal,868.34,73.53,5593175.92,5894.92,5118.79,51.12,3976461.45,1385,Yes,Yes,Operational
RE-00169,Canada,2012,Solar CSP,107.89,41.78,394869.63,2722.17,293.69,18.98,262046.27,268,Yes,No,Construction
RE-00170,Italy,2017,Biomass,1069.41,69.76,6535138.84,2734.37,2924.16,74.75,2188337.33,3494,Yes,Yes,Operational
RE-00171,China,2024,Biomass,495.97,77.64,3373222.91,4112.31,2039.58,41.61,2133604.65,747,Yes,No,Operational
RE-00172,Poland,2026,Solar CSP,435.46,32.19,1227929.27,4365.59,1901.04,33.31,689817.74,385,Yes,No,Construction
RE-00173,China,2011,Hydroelectric,670.81,44.32,2604374.21,2077.48,1393.59,10.89,1225309.41,2062,Yes,No,Construction
RE-00174,Spain,2026,Solar CSP,749.29,33.63,2207399.35,5283.91,3959.18,29.75,1135328.99,1923,Yes,Yes,Operational
RE-00175,France,2018,Geothermal,1382.61,82.34,9972743.81,3979.62,5502.26,53.49,4739927.77,1453,Yes,Yes,Operational
RE-00176,China,2016,Solar CSP,1100.47,20.71,1996468.27,4209.95,4632.92,19.63,1438531.54,1103,Yes,Yes,Construction
RE-00177,Germany,2017,Onshore Wind,1139.7,30.31,3026081.29,2277.53,2595.7,13.5,1900519.99,3942,Yes,Yes,Operational
RE-00178,Argentina,2021,Biogas,874.08,84.77,6490788.72,3976.67,3475.93,59.24,3696592.48,3055,No,Yes,Operational
RE-00179,South Africa,2024,Geothermal,455.5,81.0,3232045.8,5945.36,2708.11,54.4,2272300.81,1491,Yes,No,Operational
RE-00180,Italy,2012,Onshore Wind,955.37,34.39,2878113.27,2073.93,1981.37,11.34,1195391.24,819,Yes,No,Operational
RE-00181,South Korea,2013,Solar PV,1139.25,22.86,2281389.14,719.04,819.17,32.65,772251.83,3145,Yes,Yes,Operational
RE-00182,United States,2023,Onshore Wind,1273.34,28.57,3186828.76,1888.54,2404.75,12.78,1502353.17,838,Yes,No,Operational
RE-00183,Brazil,2013,Hydroelectric,1355.95,49.23,5847599.46,2280.13,3091.74,10.29,3391567.47,4080,No,No,Operational
RE-00184,Spain,2025,Hydroelectric,540.14,37.85,1790920.59,1947.08,1051.7,14.92,1084768.97,251,Yes,No,Operational
RE-00185,Brazil,2023,Geothermal,1215.97,87.79,9351300.55,2590.63,3150.13,34.0,5159140.37,1561,Yes,No,Operational
RE-00186,Brazil,2011,Solar PV,1236.8,28.81,3121381.42,881.21,1089.88,57.18,808220.79,4613,No,Yes,Construction
RE-00187,Australia,2026,Geothermal,1358.95,94.27,11222279.77,4291.23,5831.57,18.13,7573856.0,3546,Yes,No,Operational
RE-00188,India,2021,Hydroelectric,113.45,55.54,551968.74,4516.73,512.42,18.65,278697.4,172,No,No,Operational
RE-00189,Sweden,2012,Biogas,330.15,66.24,1915736.31,3862.16,1275.09,72.72,685109.21,1153,Yes,Yes,Operational
RE-00190,Australia,2018,Offshore Wind,387.58,50.94,1729515.29,6453.06,2501.08,10.56,508825.38,1095,Yes,Yes,Operational
RE-00191,Japan,2022,Biomass,428.4,66.06,2479089.11,4083.39,1749.32,79.21,1664376.1,859,Yes,Yes,Planned
RE-00192,Spain,2021,Biogas,213.32,55.34,1034129.28,3250.08,693.31,28.08,406719.82,192,Yes,No,Operational
RE-00193,Spain,2014,Onshore Wind,49.03,39.13,168064.45,1585.83,77.75,15.47,51147.64,22,Yes,No,Planned
RE-00194,Germany,2010,Solar CSP,796.13,33.06,2305637.06,2565.49,2042.46,30.45,973937.13,1525,Yes,No,Planned
RE-00195,South Africa,2010,Onshore Wind,902.46,42.57,3365392.46,1470.25,1326.84,17.24,1905409.57,3379,Yes,No,Operational
RE-00196,Mexico,2019,Biogas,505.09,84.57,3741874.41,1638.95,827.82,54.41,2512022.49,790,Yes,No,Operational
RE-00197,United States,2012,Solar PV,78.53,29.13,200391.91,939.23,73.76,40.16,59185.93,151,Yes,No,Operational
RE-00198,Italy,2024,Biogas,1289.44,65.69,7420010.27,2270.77,2928.02,80.61,3301494.5,2979,No,Yes,Operational
RE-00199,Italy,2010,Solar CSP,588.36,24.4,1257584.2,4540.1,2671.21,20.44,738712.98,793,Yes,No,Operational
RE-00200,Germany,2021,Onshore Wind,1279.08,38.15,4274608.62,1377.98,1762.55,18.7,1801000.11,691,Yes,Yes,Operational
RE-00201,Sweden,2022,Geothermal,197.0,90.17,1556081.72,5760.25,1134.77,39.26,941708.91,584,Yes,Yes,Operational
RE-00202,Italy,2024,Biogas,267.69,71.46,1675711.56,1633.9,437.38,85.3,640602.98,145,Yes,Yes,Operational
RE-00203,United Kingdom,2010,Biomass,419.75,61.37,2256581.04,2822.28,1184.65,67.74,946644.48,663,Yes,Yes,Construction
RE-00204,South Africa,2020,Solar PV,1392.86,22.07,2692860.81,1178.64,1641.68,32.58,1715270.79,4391,Yes,No,Operational
RE-00205,United States,2023,Solar PV,1209.79,18.94,2007215.82,1536.32,1858.62,23.77,1499660.37,3837,Yes,Yes,Planned
RE-00206,China,2022,Solar PV,904.01,27.71,2194390.26,788.09,712.44,31.04,1003031.12,499,Yes,Yes,Operational
